iter	Passed	Remaining
0	145	145655
1	147	73602
2	148	49503
3	150	37395
4	151	30089
5	152	25214
6	153	21727
7	154	19112
8	155	17078
9	156	15449
10	157	14140
11	158	13033
12	159	12094
13	160	11287
14	161	10588
15	162	9976
16	163	9436
17	164	8955
18	165	8524
19	166	8137
20	167	7787
21	168	7468
22	168	7176
23	169	6911
24	171	6673
25	172	6446
26	173	6235
27	174	6040
28	174	5857
29	175	5687
30	176	5528
31	177	5378
32	178	5239
33	179	5107
34	180	4983
35	181	4866
36	182	4755
37	183	4649
38	184	4553
39	185	4458
40	186	4368
41	187	4282
42	188	4202
43	189	4123
44	190	4048
45	191	3976
46	192	3906
47	193	3841
48	194	3778
49	195	3717
50	196	3658
51	197	3601
52	198	3547
53	199	3494
54	200	3444
55	201	3395
56	202	3348
57	203	3302
58	204	3264
59	205	3224
60	206	3185
61	208	3149
62	209	3112
63	210	3077
64	211	3043
65	212	3010
66	213	2978
67	214	2940
68	215	2909
69	216	2881
70	218	2852
71	219	2824
72	220	2797
73	221	2771
74	222	2743
75	223	2716
76	224	2689
77	225	2663
78	226	2639
79	229	2643
80	231	2630
81	234	2622
82	236	2615
83	238	2600
84	239	2578
85	241	2564
86	242	2541
87	243	2520
88	244	2501
89	245	2485
90	247	2473
91	248	2455
92	249	2436
93	250	2418
94	251	2399
95	252	2382
96	254	2364
97	255	2347
98	256	2329
99	256	2312
100	257	2296
101	258	2275
102	259	2261
103	260	2246
104	261	2230
105	262	2214
106	263	2200
107	264	2185
108	265	2171
109	266	2156
110	267	2142
111	268	2128
112	269	2114
113	270	2101
114	271	2087
115	272	2073
116	273	2060
117	274	2048
118	274	2034
119	275	2022
120	276	2009
121	277	2000
122	278	1985
123	279	1974
124	280	1963
125	281	1952
126	282	1941
127	283	1928
128	284	1917
129	284	1907
130	285	1896
131	286	1886
132	287	1876
133	288	1867
134	289	1857
135	290	1847
136	291	1838
137	292	1827
138	293	1818
139	294	1809
140	295	1800
141	296	1791
142	297	1782
143	298	1773
144	299	1764
145	300	1756
146	301	1747
147	302	1739
148	303	1731
